Dia da Feira,Categoria,Qnt. Feirantes,Nome da Feira,Endereco,Bairro
SAB,TRADICIONAL,42,JARDIM MARIA SAMPAΙΟ,"RUA ANTONIO VIEGAS DE ATAIDE","JD MARIA SAMPAIO"
SAB,TRADICIONAL,55,PARAIZOPOLIS,"RUA HERBERT SPENCER","PARAIZOPOLIS"
SÁB,TRADICIONAL,17,JARDIM UMUARAMA,"RUA ODEMIS","JD UMUARAMA"
SÁB,TRADICIONAL,19,FEIRA LIVRE HORTO DO YPE,"RUA FRANCISCO DA CRUZ MELLAO","HORTO DO YPE"
SÁB,TRADICIONAL,14,COLANTOΝΙΟ,"RUA COLANTOΝΙΟ","VILA ANDRADE"
SÁB,TRADICIONAL,15,JARDIM OLINDA,"RUA CARDOSO MOREIRA","JARDIM OLINDA"
SÁB,ÔRGANICA,6,BURLE MARX,"PQ BURLE MARX","VILA ANDRADE"
SÁB,TRADICIONAL,11,ANATOLE DE BAUDOT,"RUA ANATOLE DE BAUDOT","VL SUZANA"
DOM,TRADICIONAL,45,PARQUE GRAJAU,"RUA JOSE BEZERRA FILHO","PQ GRAJAU"
DOM,TRADICIONAL,63,CIDADE DUTRA,"RUA NOSSA SENHORA DO OUTEIRO","CID DUTRA"
DOM,TRADICIONAL,21,JARDIM IPORANGA,"RUA ANTONIO PEREIRA TAQUES","JD PRESIDENTE"
DOM,TRADICIONAL,43,JARDIM SUZANO,"AV INACIO CUNHA LEME","JD IPANEMA"
DOM,TRADICIONAL,48,JARDIM TRES CORACOES,"RUA BENEDITA MARTINS RAMOS","JD TRES CORACOES"
DOM,TRADICIONAL,15,AV DAS JABOTICABEIRAS,"ES DO CAPOEIRAO","JD COLONIAL"
DOM,TRADICIONAL,62,COCAIA,"AV TRINTA E SETE CONJ FARIA LIMA","PQ COCAIA"
DOM,TRADICIONAL,47,PQUE AMERICA,"RUA BENEDITO MARCELLO","PQ SAO PAULO"
DOM,TRADICIONAL,0,VILA DA PAZ,"RUA INACIO DE ALMEIDA ARRUDA","VILA DA PAZ"
DOM,TRADICIONAL,12,JD. NOVO HORIZONTE,"RUA LUAR DE LAGRIMAS","JD NOVO HORIZONTE"
DOM,TRADICIONAL,16,JARDIM VARGINHA,"RUA RAIMUNDA P DE ALENCAR DA SILV","JARDIM VARGINHA"
TER,TRADICIONAL,81,JARDIM EDA,"RUA JOSE ANTUNES CERDEIRA","PQ AMERICA"
TER,TRADICIONAL,100,VELEIROS,"RUA DAS PAINEIRAS","VELEIROS"
TER,TRADICIONAL,72,JARDIM ELIANA,"RUA AMAZONAS MARCONDES","COCAIA"
QUA,TRADICIONAL,60,VILA SAO BENEDITO,"RUA JOSE BONIFACIO FILHO","CID DUTRA"
QUA,TRADICIONAL,96,BANDEIRANTES,"PC JOSE SCHUNCH","VL SAO JOSE"
QUA,TRADICIONAL,30,VILA NOVA FRIBURGO,"AV DANTON JOBIM","VL FRIBURGO"
QUA,TRADICIONAL,24,RIO PRETO,"RUA SAO JOSE DO RIO PRETO","GRAJAU"
QUA,TRADICIONAL,34,JARDIM S FRANCISCA,"RUA HENRY LACORDAIRE","JD STA FRANCISCA"
QUA,TRADICIONAL,32,PQUE RESIDENCIAL COCAIA I,"RUA RUBENS DE OLIVEIRA","COCAIA"
QUI,TRADICIONAL,32,CIDADE DUTRA,"RUA SAO GUILHERME","CID DUTRA"
QUI,TRADICIONAL,95,JARDIM MIRNA,"AV CARLOS ALBERTO BASTOS MACHAL","COCAIA"
QUI,TRADICIONAL,57,PARQUE SAO PAULO,"RUA GAETANO DONIZETTI","PQ BRASIL"
SEX,TRADICIONAL,26,SOCORRO,"RUA DOS INOCENTES C/ MENDEL","SOCORRO"
SEX,TRADICIONAL,42,JARDIM DAS IMBUIAS,"RUA JOSE LUIZ MONTEIRO","JD IMBUIAS"
SAB,TRADICIONAL,37,JARDIM PRIMAVERA,"RUA FRANCISCO BARRETO","JD PRIMAVERA"
SAB,TRADICIONAL,163,SAO JOSE,"AV CARLOS OBHERUBER","STO AMARO"
SÁB,TRADICIONAL,50,VILA FRIBURGO,"AV BERNA","VL FRIBURGO"
SÁB,TRADICIONAL,40,CONJ.RES.BRIG.FARIA LIMA,"RUA SAO CAETANO DO SUL","GRAJAU"
SÁB,TRADICIONAL,23,JARDIM PETRONITA,"RUA DR ANTONIO SIMOES DE CARVALH","JD SAO BERNARDO"
SÁB,TRADICIONAL,57,PARQUE DAS ARVORES,"AV DO ARVOREIRO","CAPELA DO SOCORRO"
SÁB,TRADICIONAL,67,PQ RES. COCAIA INDEPENDENTE,"AV VER JOSE GOMES MORAES NETO","PQ RESIDENCIAL"
SÁB,TRADICIONAL,10,JARDIM SATELITE,"RUA CLAUDIO SERGIO BERE","JD SATELITE"
SÁB,TRADICIONAL,18,JARDIM ALMEIDA PRADO,"RUA MARCO AURELIO MARILAN","JD ALMEIDA PRADO"
SÁB,TRADICIONAL,20,VILA NATAL,"RUA MARTA MARIA BERNARDES","VILA NATAL"
DOM,TRADICIONAL,52,CHORA MEΝΙΝΟ,"AV BARUEL","BARUEL"
DOM,TRADICIONAL,48,PARQUE PERUCHE,"RUA CARLOS BELMIRO CORREA","PQ PERUCHE"
DOM,TRADICIONAL,68,CANAA,"AV EULINA","JD PRIMAVERA"
DOM,TRADICIONAL,43,VILA NOVA CACHOEIRINHA,"RUA DOS PATIS","VL BELA VISTA"
DOM,TRADICIONAL,24,VILA PRADO,"RUA MARIA ELISA SIQUEIRA","VL BARBOSA"
DOM,TRADICIONAL,1,JARDIM PERI ALTO,"RUA SAO LOURENCO DO SUL","JD PERI ALTO"
DOM,TRADICIONAL,0,FEIRA CEL EUCLIDES MACHADO,"RUA CEL EUCLIDES MACHADO","JD DAS GRACAS"
DOM,TRADICIONAL,8,LIMAO,"PC ANTONIO FRANCO VELASCO","LIMAO"
DOM,TRADICIONAL,18,CACHOEIRINHA,"RUA CLEUSA MILOCHI","CACHOEIRINHA"
DOM,TRADICIONAL,136,FREGUESIA DO O,"RUA AFONSO LOPES VIEIRA","VILA DIONISIA"
TER,TRADICIONAL,92,JARDIM CARDAMONE,"RUA WALDOMIRO SILVEIRA","IMIRIM"
TER,TRADICIONAL,12,JARDIM DAS LARANJEIRAS,"RUA FREDERICO PENTEADO JUNIOR","CASA VERDE"
TER,TRADICIONAL,52,SANTA MARIA,"RUA TOMAZ ANTONIO VILANE","VL STA MARIA"
TER,TRADICIONAL,5,MARAMBAΙΑ,"RUA MARAMBAΙΑ","CASA VERDE"
TER,TRADICIONAL,90,JARDIM SANTA CRUZ,"RUA MONTE SAO MARTINHO","JD STA CRUZ"
QUA,TRADICIONAL,37,VILA ESPANHOLA,"RUA GALILEIA","PQ PERUCHE"
QUA,TRADICIONAL,62,VILA CAROLINA,"RUA ANTONIO MUNHOS BONILHA","VL CAROLINA"
QUA,TRADICIONAL,126,VILA CONTINENTAL,"AV MARIANA CALIGIURI RONCHETTI","VL CONTINENTAL"
QUA,TRADICIONAL,18,PARQUE SOUZA ARANHA,"PC BENITO NICOLETTI","PARQUE SOUZA ARANH"
QUI,TRADICIONAL,112,BAIRRO DO LIMAO,"RUA MADALENA MADUREIRA","CASA VERDE"
QUI,TRADICIONAL,70,ROSA DOS VENTOS,"RUA AUGUSTO GIL","VL NOVA CACHOEIRINH"
QUI,TRADICIONAL,19,GALO DE OURO,"RUA DR IGNACIO PROENCA GOUVEIA","PQ PERUCHE"
SEX,TRADICIONAL,26,CASA VERDE,"RUA CAETANO DESCO","CASA VERDE"
SEX,TRADICIONAL,36,CARMEM,"RUA CESAR PENA RAMOS","CASA VERDE"
SEX,TRADICIONAL,94,MANDIBA,"RUA LASAR SEGAL","FREGUESIA DO O"
SEX,TRADICIONAL,12,DEPUTADO EMILIO CARLOS,"AV MONTE CELESTE","LIMAO"
SAB,TRADICIONAL,38,CACHOEIRINHA,"RUA JUARANA C/ DO CANAVIAL","VL NOVA CACHOEIRINH"
SAB,TRADICIONAL,70,VILA SIQUEIRA,"RUA SALVADOR LIGABUE","VL SIQUEIRA"
SAB,TRADICIONAL,48,PARQUE SOUZA ARANHA,"PC BENITO NICOLETTI","PARQUE SOUZA ARANH"
DOM,TRADICIONAL,67,CASA PALMA,"AV CUPECE","CID ADEMAR"
DOM,TRADICIONAL,160,JARDIM MIRIAM,"AV ANGELO CRISTIANINI","JD MIRIAM"
DOM,TRADICIONAL,84,MAR PAULISTA,"RUA AUGUSTO DE CASTRO","PEDREIRA"
DOM,TRADICIONAL,69,VILA JOANISA,"RUA ESTANISLAU MONIUSKO","VL JOANISA"
DOM,TRADICIONAL,14,VILA MISSIONARIA,"RUA RAINHA DAS MISSOES","VL MISSIONARIA"
DOM,TRADICIONAL,12,JARDIM VILA LUCIA,"RUA DELFINO FACCHINA","JD VERA LUCIA"
TER,TRADICIONAL,13,JARDIM PRUDENCIA,"RUA MARIA JOSE RANGEL","JD PRUDENCIA"
TER,TRADICIONAL,32,VILA CONSTANCIA,"RUA SALVADOR RODRIGUES NEGRAO","VL CONSTANCIA"
QUA,TRADICIONAL,43,JARDIM UBIRAJARA,"AV BATISTA MACIEL","JD UBIRAJARA"
QUA,TRADICIONAL,66,CIDADE ADEMAR,"RUA VISCONDE DE STA ISABEL","CID ADEMAR"
QUA,TRADICIONAL,44,JARDIM MIRIAM,"RUA BRAS DE ABREU","JD MIRIAM"
QUI,TRADICIONAL,64,PEDREIRA,"AV AUGUSTO DE CASTRO","PEDREIRA"
QUI,TRADICIONAL,119,VILA FILOMΕΝΑ,"RUA JOAO GOMES BATISTA","JD CIDALIA"
QUI,TRADICIONAL,26,VILA RICA,"AV CELSO DOS SANTOS","STO AMARO"
SEX,TRADICIONAL,125,CIDADE ADEMAR,"RUA ANTONIO DE PINHO AZEVEDO","CID ADEMAR"
SEX,TRADICIONAL,87,REFUGIO SANTA TEREZINHA,"RUA DOS ANIQUIS E DOS CARATAIS","PEDREIRA"
SEX,TRADICIONAL,19,JARDIM NITEROI,"RUA EDUARDO PEREIRA RAMOS","JD NITEROIΙ"
SAB,TRADICIONAL,10,JARDIM MARAJOARA,"RUA JUCA DE AZEVEDO","JD MARAJOARA"
SAB,TRADICIONAL,38,JARDIM VILAS BOAS,"RUA LUIS STOLB","JD VILAS BOAS"
DOM,TRADICIONAL,164,ERMELINO MATARAZZO,"RUA SHOBEE KUMAGAI","ERMELINO MATARAZZO"
DOM,TRADICIONAL,101,VILA RIO BRANCO,"RUA FRANCISCO SOUZA QUEIROZ","VL RIO BRANCO"
DOM,TRADICIONAL,16,SANTOS DUMONT,"AV CACHOEIRA SANTA CRUZ","JD POPULAR"
TER,TRADICIONAL,67,VILA BUENOS AIRES,"AV BUENOS AIRES","VL BUENOS AIRES"
TER,TRADICIONAL,18,BRASILIA,"RUA BELIZARIO BENITES","JD VERONIΑ"
QUA,TRADICIONAL,142,PONTE RAZA,"RUA BOAVENTURA R DA SILVA","PONTE RAZA"
QUI,TRADICIONAL,138,COMENDADOR ERMELINO MATARAZZO,"RUA VITORIA SIMIONATO","ERMELINO MATARAZZO"
QUI,TRADICIONAL,72,JARDIM POPULAR,"RUA ANDRE NATALE","JD POPULAR"
QUI,TRADICIONAL,20,AZEVEDO,"RUA HERMENEGILDO GOIS PARENTE","JD LISBOA"
QUI,TRADICIONAL,48,VILA PRIMA,"RUA HONORIO EMILIANO BUENO","PONTE RAZA"
QUI,TRADICIONAL,18,BURGO PAULISTA,"RUA ACAIPE","BURGO PAULISTA"
SEX,TRADICIONAL,56,PARQUE BOTURUSSU,"RUA DARIO COSTA MATOS","ERMELINO MATARAZZO"
SEX,NOTURNA,5,BENEDITO RAMOS,"PC BENEDITO RAMOS RODRIGUES","JARDIM BELEM"
SAB,TRADICIONAL,126,BURGO PAULISTA,"RUA JOAO JOSE DE QUEIROZ","SAO FRANCISCO"
SAB,TRADICIONAL,123,JARDIM VERONIA,"RUA ANTONIO LEITE PENTEADO","JD VERONIA"
SAB,TRADICIONAL,11,VILA PONTE RASA,"RUA RAFAEL FREDERICO","VL PONTE RASA"
SAB,TRADICIONAL,57,JARDIM PENHA,"RUA DO ACAPUZAL","VL CISPER"
DOM,TRADICIONAL,59,VILA DAS PALMEIRAS,"RUA BENEDITO GUEDES DE OLIVEIRA","VL PALMEIRAS"
DOM,TRADICIONAL,114,CRUZ DAS ALMAS,"ES DO SABAO","CRUZ DAS ALMAS"
DOM,TRADICIONAL,60,MARACANA,"RUA RODOLFO MARCOS TEOFILO","JD ELISEO"
DOM,TRADICIONAL,24,PARQUE BELEM,"AV GUILHERME DE ALMEIDA","PQ BELEM"
DOM,TRADICIONAL,20,JARDIM PRINCESA,"RUA VITANTONIO MATOROSA","JARDIM PRINCESA"
DOM,TRADICIONAL,11,JARDIM DO RECANTO,"RUA ARARIPIRA","JARDIM DO RECANTO"
TER,TRADICIONAL,46,FREGUESIA DO O,"RUA CHICO DE PAULA","NOSSA SENHORA DO O"
TER,TRADICIONAL,89,VILA BANCARIA,"RUA MARQUES DO RECIFE","VL BANCARIA"
TER,TRADICIONAL,29,GUARIROBA,"RUA JOSE FELIX ALVES PACHECO","VL BRASILANDIA"
TER,TRADICIONAL,44,JARDIM VISTA ALEGRE,"RUA ITATIBA DO SUL","JD VISTA ALEGRE"
QUA,TRADICIONAL,30,VILA IORIO,"RUA JAGUARURAMA","NOSSA SENHORA DO 0"
QUA,TRADICIONAL,80,VILA RICA,"RUA SPENCER VAMPRE","VL RICA"
QUA,TRADICIONAL,54,JARDIM IRACEMA,"RUA MONTREAL","PQ SAO LUIS"
QUI,TRADICIONAL,52,VILA BRASILANDIA,"RUA COLUMBIA","VL BRASILANDIA"
QUI,TRADICIONAL,24,VILA NIGRI,"RUA MOINHO VELHO","VL NIGRI"
QUI,TRADICIONAL,58,JARDIM GUARANI,"RUA SOUZA CARVALHO","JD GUARANI"
SEX,TRADICIONAL,37,SANTA MARINA,"RUA ESTEVAO FURQUIM","NOSSA SENHORA DO 0"
SEX,TRADICIONAL,53,VILA MIRIAM,"RUA ANTONIO GOMES DE OLIVEIRA","VL MIRIAN"
SEX,TRADICIONAL,24,JARDIM MONJOLO,"RUA NAZARIO PAGANO","JD MONJOLO"
